r,z,pressure,ne
224.4610888,101.4548337,2.9997,8.17E+14
41.83083541,101.3366733,2.9997,6.27E+16
54.46638399,101.2516159,2.9997,6.32E+16
184.2921234,101.1678604,2.9997,1.67E+16
224.0209779,101.1609134,2.9997,9.42E+14
88.62745884,101.1279343,2.9997,6.08E+16
61.40278569,101.1213584,2.9997,6.42E+16
81.80678723,101.1152683,2.9997,6.22E+16
48.6710488,101.0918445,2.9997,6.49E+16
122.721044,101.0827903,2.9997,5.01E+16
115.9028852,101.07517,2.9997,5.30E+16
95.44746711,101.0338162,2.9997,6.01E+16
129.5380092,101.033644,2.9997,4.72E+16
109.0843426,101.0167668,2.9997,5.61E+16
136.3536154,101.0063775,2.9997,4.38E+16
102.2660691,100.9881214,2.9997,5.86E+16
68.21150092,100.9791563,2.9997,6.50E+16
74.98610215,100.9610184,2.9997,6.45E+16
163.5835902,100.9527331,2.9997,2.86E+16
143.1679111,100.9403709,2.9997,4.04E+16
149.9798948,100.928888,2.9997,3.66E+16
170.335443,100.9175177,2.9997,2.48E+16
156.787462,100.9074121,2.9997,3.27E+16
0,100.7895543,2.9997,6.64E+16
223.4048228,100.7494249,2.9997,1.13E+15
190.4254628,100.5294218,2.9997,1.50E+16
222.5422056,100.173341,2.9997,1.46E+15
197.3618902,99.45349373,2.9997,1.31E+16
10.86446425,99.3931873,2.9997,7.95E+16
204.0835279,98.45970149,2.9997,1.07E+16
219.4418145,98.29008485,2.9997,2.96E+15
5.687819811,98.176899,2.9997,9.05E+16
173.5946227,97.89356786,2.9997,3.25E+16
30.92617319,97.7914317,2.9997,9.44E+16
24.09793451,97.74253442,2.9997,9.46E+16
92.02514319,97.71564731,2.9997,8.86E+16
85.19950076,97.70456169,2.9997,9.07E+16
126.1233866,97.69640586,2.9997,7.11E+16
119.3043215,97.6818878,2.9997,7.57E+16
17.1128794,97.64485933,2.9997,9.61E+16
132.9325961,97.60829655,2.9997,6.67E+16
112.4847023,97.57882326,2.9997,8.05E+16
98.84108334,97.56848166,2.9997,8.73E+16
105.6655028,97.55442354,2.9997,8.43E+16
139.7574153,97.5011859,2.9997,6.20E+16
37.71785302,97.49946171,2.9997,9.71E+16
146.5737118,97.45606864,2.9997,5.66E+16
153.3900238,97.42438223,2.9997,5.09E+16
160.2056527,97.40165821,2.9997,4.52E+16
64.71379415,97.38457537,2.9997,9.72E+16
78.37145652,97.26580039,2.9997,9.60E+16
44.61049435,97.20784709,2.9997,9.96E+16
186.9139809,97.0957122,2.9997,2.42E+16
210.5075046,97.07653032,2.9997,8.23E+15
167.0495913,97.06717996,2.9997,4.05E+16
57.8473146,97.04228177,2.9997,1.01E+17
71.54321258,96.97952895,2.9997,9.97E+16
180.3567225,96.96759034,2.9997,2.96E+16
51.29489876,96.94342052,2.9997,1.02E+17
0,96.44802976,2.9997,1.05E+17
225,96.39243145,2.9997,7.09E+14
224.7240699,96.27821824,2.9997,8.33E+14
224.3377677,96.11831974,2.9997,1.02E+15
223.7969447,95.89446184,2.9997,1.29E+15
216.0837096,95.77504177,2.9997,5.57E+15
223.0397924,95.58106078,2.9997,1.72E+15
11.21644389,94.80864666,2.9997,1.20E+17
193.6572497,94.7977009,2.9997,2.29E+16
199.9697379,94.56578379,2.9997,1.81E+16
221.2261825,93.97415706,2.9997,2.89E+15
21.81243782,93.1084828,2.9997,1.34E+17
27.40188863,93.08647554,2.9997,1.35E+17
129.4876379,92.72705241,2.9997,9.98E+16
88.55958457,92.71813975,2.9997,1.31E+17
122.6673513,92.70120713,2.9997,1.07E+17
95.38125204,92.63283618,2.9997,1.28E+17
115.8463157,92.61903195,2.9997,1.14E+17
68.05367927,92.58777632,2.9997,1.38E+17
206.169391,92.58458294,2.9997,1.50E+16
81.75994115,92.57737566,2.9997,1.34E+17
136.3298679,92.55382485,2.9997,9.33E+16
102.2041119,92.53578933,2.9997,1.25E+17
109.025003,92.52898467,2.9997,1.20E+17
164.0866544,92.40172042,2.9997,6.04E+16
74.92065195,92.38720645,2.9997,1.38E+17
149.9999017,92.37092364,2.9997,7.79E+16
143.1540132,92.32345309,2.9997,8.65E+16
